Experiment Name: deeplyCoreTrain
Number of training samples: 21432
Number of validation samples: 2678
Number of testing samples: 2680
Number of features: 90
Iteration	ROC_AUC	Avg. Precision	Sensitivity	Specificity	PPV	Accuracy
1	0.491257246522115	0.49110968534152377	0.0390855457227	0.954682779456	0.469026548673	0.491417910448
2	0.4926682574481548	0.4919049118938402	0.0	0.998489425982	0.0	0.49328358209
3	0.5005301212469588	0.5050087678325004	0.0346607669617	0.970543806647	0.546511627907	0.497014925373
4	0.4981929646908893	0.4987767570807145	1.0	0.0	0.505970149254	0.505970149254
5	0.49651000031191794	0.49793310889598086	0.635693215339	0.349697885196	0.500290191526	0.494402985075
6	0.4949895396091223	0.49393486583172536	0.458702064897	0.543051359517	0.506927465363	0.500373134328
7	0.4906193464873584	0.49320803841644306	0.87389380531	0.12915407855	0.506843455945	0.505970149254
8	0.48921084204475573	0.49370752365520454	0.193215339233	0.780966767372	0.474637681159	0.483582089552
9	0.49958169576415434	0.4983679832180546	0.583333333333	0.416163141994	0.505754475703	0.500746268657
10	0.4698914247074656	0.477413135539556	0.0272861356932	0.966767371601	0.456790123457	0.491417910448
Avg.	0.492345143883	0.494136477771	0.384587020649	0.610951661631	0.447275171899	0.496417910448

Batch size:32
Activation:sigmoid
Dropout:0.3
Execution time: 29940.7128961 sec.
